"id","userId","voteOptionId","voteOptionText","voteAnswer","voteOptionType"
2851,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",1,"Findest du es wichtig, den Austausch zwischen eigenständigen Organisationen zu fördern, die sich dem SOG Gedanken verpflichtet haben, oder sollte sich jedes Chapter auf seine Arbeit konzentrieren?","egal","dropdown"
2852,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",2,"Was wären deiner Meinung nach Themen zu welchen man sich international austauschen, abstimmen oder bei denen man kooperieren sollte? Bei welchen Themen wäre es anders herum vllt. nicht so wichtig, oder sogar hinderlich?","ydc","comment"
2853,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",3,"Kannst du dir Themen oder Aufgaben vorstellen, die man in SOG Deutschland nicht angeht, weil es besser wäre diese in einem internationalen Verbund zu bearbeiten?","yxc","comment"
2854,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Aktive Neugründung von Chaptern","checkbox"
2855,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",5,"Wir gehen davon aus, dass du zumindest bei einigen der Fragen oben positiv geantwortet oder sogar schon Ideen aufgeschrieben hast. Welche Struktur wäre am besten geeignet, um die internationalen Themen effektiv anzugehen?","Anderes","checkbox"
2856,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",6,"..wenn du ""anderes"" gekreuzt hast: was?","yxc","text"
2857,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",7,"Jetzt mal Butter bei die Fische: Wie du weißt haben wir einen internationalen Dachverband (Etudes Sans Frontieres International) der sich aus Mitgliedern der Chapter zusammensetzt - aber niemand will sich engagieren. Hältst du einen unabhängigen Dachverband für die Umsetzung einer internationalen Ausrichtung und Zusammenarbeit für notwendig?","Nein","dropdown"
2858,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",8,"..könntest du das ein bisschen ausführen?","xx","comment"
2859,"anon-user-166971db5c2c1cf0e9ec59f8bed8ae99",9,"Das wars, danke für deine Antworten! Hier mal ein freies Kommentarfeld, falls du noch etwas loswerden möchtest ;)","-","comment"
2871,"anon-user-fa0c31974069347c205ef0f92c83d316",1,"Findest du es wichtig, den Austausch zwischen eigenständigen Organisationen zu fördern, die sich dem SOG Gedanken verpflichtet haben, oder sollte sich jedes Chapter auf seine Arbeit konzentrieren?","eher wichtig","dropdown"
2872,"anon-user-fa0c31974069347c205ef0f92c83d316",2,"Was wären deiner Meinung nach Themen zu welchen man sich international austauschen, abstimmen oder bei denen man kooperieren sollte? Bei welchen Themen wäre es anders herum vllt. nicht so wichtig, oder sogar hinderlich?","1. Hinderlich: interne Abläufe
2. Förderlich: Best & Poor Practices in den Projekten, (fremdsprachliche) Dokumente wie Kooperationsverträge etc. austauschen","comment"
2873,"anon-user-fa0c31974069347c205ef0f92c83d316",3,"Kannst du dir Themen oder Aufgaben vorstellen, die man in SOG Deutschland nicht angeht, weil es besser wäre diese in einem internationalen Verbund zu bearbeiten?","Nein","comment"
2874,"anon-user-fa0c31974069347c205ef0f92c83d316",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Kooperationen bei Stipendienprojekten","checkbox"
2875,"anon-user-fa0c31974069347c205ef0f92c83d316",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Unterstützung bei der Neugründung von Chaptern","checkbox"
2876,"anon-user-fa0c31974069347c205ef0f92c83d316",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Aktive Neugründung von Chaptern","checkbox"
2877,"anon-user-fa0c31974069347c205ef0f92c83d316",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Internationale ÖA und Verbreitung des SOG-Gedanken","checkbox"
2878,"anon-user-fa0c31974069347c205ef0f92c83d316",5,"Wir gehen davon aus, dass du zumindest bei einigen der Fragen oben positiv geantwortet oder sogar schon Ideen aufgeschrieben hast. Welche Struktur wäre am besten geeignet, um die internationalen Themen effektiv anzugehen?","Eigenständige Organisation/Dachverband mit Mitgliedern aus den Chaptern","checkbox"
2879,"anon-user-fa0c31974069347c205ef0f92c83d316",6,"..wenn du ""anderes"" gekreuzt hast: was?","jk","text"
2880,"anon-user-fa0c31974069347c205ef0f92c83d316",7,"Jetzt mal Butter bei die Fische: Wie du weißt haben wir einen internationalen Dachverband (Etudes Sans Frontieres International) der sich aus Mitgliedern der Chapter zusammensetzt - aber niemand will sich engagieren. Hältst du einen unabhängigen Dachverband für die Umsetzung einer internationalen Ausrichtung und Zusammenarbeit für notwendig?","Egal","dropdown"
2881,"anon-user-fa0c31974069347c205ef0f92c83d316",8,"..könntest du das ein bisschen ausführen?","Ich bin davon überzeugt, dass ein Dachverband die Idee von SOG noch in vielen anderen Ländern umsetzen könnte und stark zum Wissensaustausch zwischen den Chaptern beitragen könnte. Allerdings ist es kein Muss, sondern eher ein Nice-To-Have - und wenn sich partout niemand dafür engagieren möchte, dass können denke ich trotzden alle ihre Arbeit fortsetzen wie bisher und bei Bedarf Kontakt zu anderen Chaptern aufnehmen","comment"
2882,"anon-user-fa0c31974069347c205ef0f92c83d316",9,"Das wars, danke für deine Antworten! Hier mal ein freies Kommentarfeld, falls du noch etwas loswerden möchtest ;)","Danke für eure Arbeit :)","comment"
2883,"anon-user-857d277e1e01310d52fe38d13cf41354",1,"Findest du es wichtig, den Austausch zwischen eigenständigen Organisationen zu fördern, die sich dem SOG Gedanken verpflichtet haben, oder sollte sich jedes Chapter auf seine Arbeit konzentrieren?","eher wichtig","dropdown"
2884,"anon-user-857d277e1e01310d52fe38d13cf41354",2,"Was wären deiner Meinung nach Themen zu welchen man sich international austauschen, abstimmen oder bei denen man kooperieren sollte? Bei welchen Themen wäre es anders herum vllt. nicht so wichtig, oder sogar hinderlich?","Wichtig wäre Kommunikation bezüglich der Ansätze der Chapters zu haben. Man will letztendlich nicht dass SOG in unterschiedlichen Länder unterschiedliches bedeutet. 
Weiter wäre es interessant der Wissensaustausch über Regionen in denen gearbeitet wird etc.","comment"
2885,"anon-user-857d277e1e01310d52fe38d13cf41354",3,"Kannst du dir Themen oder Aufgaben vorstellen, die man in SOG Deutschland nicht angeht, weil es besser wäre diese in einem internationalen Verbund zu bearbeiten?","Ja, vor allem die Zusammenarbeit mit anderen Organisationen die eine größere Reichweite haben, da ein internationaler Verband eine größere Reichweite hat und auch eine größere zeigt und ausdrückt","comment"
2886,"anon-user-857d277e1e01310d52fe38d13cf41354",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Wissensaustausch zwischen Chaptern","checkbox"
2887,"anon-user-857d277e1e01310d52fe38d13cf41354",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Kooperationen bei Stipendienprojekten","checkbox"
2888,"anon-user-857d277e1e01310d52fe38d13cf41354",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Internationale ÖA und Verbreitung des SOG-Gedanken","checkbox"
2889,"anon-user-857d277e1e01310d52fe38d13cf41354",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Unterstützung bei der Neugründung von Chaptern","checkbox"
2890,"anon-user-857d277e1e01310d52fe38d13cf41354",5,"Wir gehen davon aus, dass du zumindest bei einigen der Fragen oben positiv geantwortet oder sogar schon Ideen aufgeschrieben hast. Welche Struktur wäre am besten geeignet, um die internationalen Themen effektiv anzugehen?","Eigenständige Organisation/Dachverband mit Mitgliedern aus den Chaptern","checkbox"
2891,"anon-user-857d277e1e01310d52fe38d13cf41354",6,"..wenn du ""anderes"" gekreuzt hast: was?","-","text"
2892,"anon-user-857d277e1e01310d52fe38d13cf41354",7,"Jetzt mal Butter bei die Fische: Wie du weißt haben wir einen internationalen Dachverband (Etudes Sans Frontieres International) der sich aus Mitgliedern der Chapter zusammensetzt - aber niemand will sich engagieren. Hältst du einen unabhängigen Dachverband für die Umsetzung einer internationalen Ausrichtung und Zusammenarbeit für notwendig?","Ja","dropdown"
2893,"anon-user-857d277e1e01310d52fe38d13cf41354",8,"..könntest du das ein bisschen ausführen?","Ein internationaler Verband gibt unserer Arbeit Konsistenz, Legitimität wenn man mag. Dies ermöglicht nicht nur größeres Wissen zu haben sondern mehr Einfluss zu haben und größere Veränderungen zu ermöglichen. ","comment"
2894,"anon-user-857d277e1e01310d52fe38d13cf41354",9,"Das wars, danke für deine Antworten! Hier mal ein freies Kommentarfeld, falls du noch etwas loswerden möchtest ;)","-","comment"
2895,"anon-user-8cf02342e253af886a4d4735ec351b5a",1,"Findest du es wichtig, den Austausch zwischen eigenständigen Organisationen zu fördern, die sich dem SOG Gedanken verpflichtet haben, oder sollte sich jedes Chapter auf seine Arbeit konzentrieren?","eher wichtig","dropdown"
2896,"anon-user-8cf02342e253af886a4d4735ec351b5a",2,"Was wären deiner Meinung nach Themen zu welchen man sich international austauschen, abstimmen oder bei denen man kooperieren sollte? Bei welchen Themen wäre es anders herum vllt. nicht so wichtig, oder sogar hinderlich?","Wichtig ist es sich zu dem allgemeinen SOG-Gedanken, gemeinsame ÖA, gemeinsame Probleme usw. auszutauschen um von dem Wissen und den Mitgliedern der anderen profitieren zu können","comment"
2897,"anon-user-8cf02342e253af886a4d4735ec351b5a",3,"Kannst du dir Themen oder Aufgaben vorstellen, die man in SOG Deutschland nicht angeht, weil es besser wäre diese in einem internationalen Verbund zu bearbeiten?","übergreifende Werbung, Verbreitung des Vereins und seines Zwecks","comment"
2898,"anon-user-8cf02342e253af886a4d4735ec351b5a",4,"Hier einige Beispiele, wobei die internationalen SOG Chapter kooperieren könnten. Bitte markiere die Bereiche, die du am wichtigsten findest (maximal 4)","Wissensaustausch zwischen Chaptern","checkbox"
